Wall time,Step,Value
1501136499.002873,0,1.0986127853393555
1501136499.259218,1,1.0986082553863525
1501136499.50895,2,1.0986043214797974
1501136499.762856,3,1.0986021757125854
1501136500.019857,4,1.0985993146896362
1501136500.269835,5,1.098596453666687
1501136500.474958,6,1.0985947847366333
1501136500.670725,7,1.098592758178711
1501136500.870395,8,1.0985891819000244
1501136501.080927,9,1.0985887050628662
1501136501.299628,10,1.0985828638076782
1501136501.540036,11,1.0985819101333618
1501136501.738302,12,1.0985817909240723
1501136501.939456,13,1.0985749959945679
1501136502.134107,14,1.098574161529541
1501136502.364288,15,1.0985714197158813
1501136502.599743,16,1.0985682010650635
1501136502.797236,17,1.0985668897628784
1501136503.005702,18,1.0985655784606934
1501136503.216625,19,1.098559856414795
1501136503.426881,20,1.0985596179962158
1501136503.663615,21,1.0985567569732666
1501136503.935858,22,1.0985554456710815
1501136504.177194,23,1.09855055809021
1501136504.423095,24,1.098549246788025
1501136504.660807,25,1.0985463857650757
1501136504.91284,26,1.0985444784164429
1501136505.115795,27,1.0985420942306519
1501136505.322758,28,1.0985392332077026
1501136505.531191,29,1.0985363721847534
1501136505.72818,30,1.0985344648361206
1501136505.941894,31,1.0985321998596191
1501136506.142046,32,1.0985300540924072
1501136506.353895,33,1.0985267162322998
1501136506.556485,34,1.0985233783721924
1501136506.787187,35,1.0985225439071655
1501136506.987728,36,1.0985198020935059
1501136507.193855,37,1.0985156297683716
1501136507.399721,38,1.0985145568847656
1501136507.598271,39,1.0985126495361328
1501136507.803572,40,1.0985089540481567
1501136508.012756,41,1.0985076427459717
1501136508.227922,42,1.0985052585601807
1501136508.442729,43,1.0985009670257568
1501136508.664565,44,1.098499059677124
1501136508.901576,45,1.0984984636306763
1501136509.144619,46,1.098494291305542
1501136509.376647,47,1.0984933376312256
1501136509.760807,48,1.0984899997711182
1501136510.210394,49,1.0984865427017212
1501136510.539792,50,1.0984840393066406
1501136510.863927,51,1.0984810590744019
1501136511.174711,52,1.0984786748886108
1501136511.490078,53,1.0984774827957153
1501136511.714546,54,1.0984734296798706
1501136511.932877,55,1.0984715223312378
1501136512.134943,56,1.0984690189361572
1501136512.352145,57,1.098465919494629
1501136512.557004,58,1.0984638929367065
1501136512.755909,59,1.0984641313552856
1501136512.963312,60,1.0984578132629395
1501136513.264153,61,1.0984559059143066
1501136513.548926,62,1.0984538793563843
1501136513.759888,63,1.0984505414962769
1501136514.03124,64,1.0984477996826172
1501136514.249345,65,1.0984447002410889
1501136514.461775,66,1.0984423160552979
1501136514.65918,67,1.0984410047531128
1501136514.951133,68,1.0984370708465576
1501136515.24041,69,1.0984342098236084
1501136515.457212,70,1.0984312295913696
1501136515.682692,71,1.0984300374984741
1501136515.890301,72,1.0984262228012085
1501136516.09146,73,1.0984243154525757
1501136516.29712,74,1.0984196662902832
1501136516.511152,75,1.0984175205230713
1501136516.714482,76,1.0984134674072266
1501136516.926941,77,1.0984121561050415
1501136517.133163,78,1.098408579826355
1501136517.336772,79,1.0984057188034058
1501136517.534054,80,1.0984021425247192
1501136517.730269,81,1.0983988046646118
1501136517.935909,82,1.0983966588974
1501136518.131493,83,1.0983927249908447
1501136518.332455,84,1.0983893871307373
1501136518.549851,85,1.098388433456421
1501136518.747435,86,1.0983854532241821
1501136518.964355,87,1.0983840227127075
1501136519.171337,88,1.0983784198760986
1501136519.412814,89,1.0983742475509644
1501136519.622088,90,1.0983730554580688
1501136519.854868,91,1.0983712673187256
1501136520.069264,92,1.0983643531799316
1501136520.272951,93,1.098364233970642
1501136520.478172,94,1.0983586311340332
1501136520.674889,95,1.0983554124832153
1501136520.886921,96,1.0983508825302124
1501136521.09949,97,1.098352313041687
1501136521.304106,98,1.098345398902893
1501136521.513038,99,1.098341941833496
1501136521.736105,100,1.0983402729034424
1501136521.936219,101,1.0983344316482544
1501136522.134049,102,1.0983316898345947
1501136522.340749,103,1.0983277559280396
1501136522.545487,104,1.0983245372772217
1501136522.742162,105,1.098320722579956
1501136522.945316,106,1.098318338394165
1501136523.146309,107,1.098313570022583
1501136523.346912,108,1.0983104705810547
1501136523.550711,109,1.0983060598373413
1501136523.741895,110,1.0983028411865234
1501136523.944892,111,1.098299503326416
1501136524.146845,112,1.0982939004898071
1501136524.355983,113,1.098291039466858
1501136524.556313,114,1.0982877016067505
1501136524.752303,115,1.0982856750488281
1501136524.956228,116,1.0982800722122192
1501136525.15373,117,1.098276138305664
1501136525.35581,118,1.0982706546783447
1501136525.563254,119,1.0982669591903687
1501136525.779776,120,1.098263144493103
1501136525.985381,121,1.098264217376709
1501136526.186213,122,1.0982543230056763
1501136526.400835,123,1.0982508659362793
1501136526.599723,124,1.0982471704483032
1501136526.795959,125,1.0982437133789062
1501136527.003031,126,1.0982365608215332
1501136527.209551,127,1.0982359647750854
1501136527.406931,128,1.0982292890548706
1501136527.611993,129,1.09822416305542
1501136527.811864,130,1.0982211828231812
1501136528.008489,131,1.098217487335205
1501136528.212424,132,1.0982105731964111
1501136528.412891,133,1.0982083082199097
1501136528.610493,134,1.0982037782669067
1501136528.803163,135,1.0981956720352173
1501136529.011434,136,1.0981932878494263
1501136529.219324,137,1.0981858968734741
1501136529.417303,138,1.0981841087341309
1501136529.62057,139,1.0981767177581787
1501136529.817096,140,1.0981723070144653
1501136530.015736,141,1.0981693267822266
1501136530.211923,142,1.0981618165969849
1501136530.410857,143,1.098156452178955
1501136530.616765,144,1.0981522798538208
1501136530.840212,145,1.0981464385986328
1501136531.053834,146,1.098143458366394
1501136531.257034,147,1.098138689994812
1501136531.462438,148,1.0981316566467285
1501136531.658069,149,1.098124623298645
1501136531.852622,150,1.0981193780899048
1501136532.062362,151,1.0981147289276123
1501136532.268309,152,1.0981107950210571
1501136532.474359,153,1.0981028079986572
1501136532.666707,154,1.0980957746505737
1501136532.859281,155,1.0980911254882812
1501136533.06741,156,1.0980855226516724
1501136533.266606,157,1.098082184791565
1501136533.47084,158,1.0980734825134277
1501136533.666079,159,1.0980700254440308
1501136533.864501,160,1.0980631113052368
1501136534.070787,161,1.0980591773986816
1501136534.278084,162,1.0980489253997803
1501136534.482897,163,1.0980424880981445
1501136534.674685,164,1.0980353355407715
1501136534.873881,165,1.0980298519134521
1501136535.075265,166,1.0980244874954224
1501136535.280931,167,1.0980174541473389
1501136535.483808,168,1.0980103015899658
1501136535.680047,169,1.0980029106140137
1501136535.877466,170,1.0979951620101929
1501136536.085533,171,1.0979876518249512
1501136536.287689,172,1.0979807376861572
1501136536.487245,173,1.097976803779602
1501136536.678592,174,1.0979695320129395
1501136536.877224,175,1.0979596376419067
1501136537.083653,176,1.0979528427124023
1501136537.285291,177,1.0979441404342651
1501136537.490977,178,1.0979397296905518
1501136537.686127,179,1.0979321002960205
1501136537.88134,180,1.0979199409484863
1501136538.08688,181,1.0979136228561401
1501136538.294107,182,1.0979059934616089
1501136538.497148,183,1.0978972911834717
1501136538.691106,184,1.0978902578353882
1501136538.88859,185,1.0978796482086182
1501136539.091465,186,1.097870945930481
1501136539.300325,187,1.0978671312332153
1501136539.512328,188,1.0978537797927856
1501136539.707142,189,1.0978496074676514
1501136539.906807,190,1.0978375673294067
1501136540.110619,191,1.0978277921676636
1501136540.312227,192,1.0978169441223145
1501136540.523297,193,1.0978131294250488
1501136540.720436,194,1.0978041887283325
1501136540.914405,195,1.0977911949157715
1501136541.156146,196,1.0977822542190552
1501136541.372137,197,1.0977736711502075
1501136541.571512,198,1.097760796546936
1501136541.769705,199,1.0977517366409302
1501136541.975226,200,1.0977433919906616
1501136542.179321,201,1.0977332592010498
1501136542.384375,202,1.0977219343185425
1501136542.587861,203,1.0977126359939575
1501136542.779081,204,1.0977009534835815
1501136542.981093,205,1.0976916551589966
1501136543.181941,206,1.097678780555725
1501136543.386581,207,1.0976707935333252
1501136543.590608,208,1.0976581573486328
1501136543.785953,209,1.0976440906524658
1501136543.987946,210,1.0976365804672241
1501136544.190171,211,1.097622275352478
1501136544.393489,212,1.0976086854934692
1501136544.596352,213,1.097599744796753
1501136544.794945,214,1.0975842475891113
1501136545.000734,215,1.0975744724273682
1501136545.208559,216,1.0975619554519653
1501136545.40733,217,1.0975492000579834
1501136545.624769,218,1.0975348949432373
1501136545.817501,219,1.097521185874939
1501136546.022719,220,1.097510576248169
1501136546.224289,221,1.0974986553192139
1501136546.422886,222,1.0974853038787842
1501136546.625975,223,1.097466230392456
1501136546.821364,224,1.097453236579895
1501136547.031605,225,1.0974414348602295
1501136547.23395,226,1.0974221229553223
1501136547.432503,227,1.0974104404449463
1501136547.633235,228,1.0973931550979614
1501136547.827308,229,1.097377896308899
1501136548.039834,230,1.0973635911941528
1501136548.242645,231,1.097352385520935
1501136548.443327,232,1.0973312854766846
1501136548.646889,233,1.097313404083252
1501136548.84119,234,1.0972994565963745
1501136549.048039,235,1.0972814559936523
1501136549.257275,236,1.0972650051116943
1501136549.457177,237,1.0972501039505005
1501136549.65818,238,1.0972316265106201
1501136549.85692,239,1.0972108840942383
1501136550.060963,240,1.0971927642822266
1501136550.269096,241,1.0971752405166626
1501136550.475855,242,1.0971570014953613
1501136550.673429,243,1.0971394777297974
1501136550.873129,244,1.0971182584762573
1501136551.08316,245,1.0970988273620605
1501136551.285109,246,1.0970778465270996
1501136551.489837,247,1.0970577001571655
1501136551.689275,248,1.0970354080200195
1501136551.887402,249,1.0970144271850586
1501136552.087903,250,1.0969915390014648
1501136552.288565,251,1.0969767570495605
1501136552.495827,252,1.0969479084014893
1501136552.698932,253,1.0969234704971313
1501136552.897125,254,1.0969021320343018
1501136553.096495,255,1.0968811511993408
1501136553.300067,256,1.096860408782959
1501136553.500059,257,1.0968331098556519
1501136553.700606,258,1.0968058109283447
1501136553.900291,259,1.0967786312103271
1501136554.106809,260,1.096757173538208
1501136554.312438,261,1.0967251062393188
1501136554.519674,262,1.0966978073120117
1501136554.714008,263,1.096670150756836
1501136554.915715,264,1.0966459512710571
1501136555.115781,265,1.0966193675994873
1501136555.316204,266,1.096590518951416
1501136555.525045,267,1.0965594053268433
1501136555.719291,268,1.0965244770050049
1501136555.920133,269,1.0964956283569336
1501136556.128035,270,1.0964630842208862
1501136556.328598,271,1.0964359045028687
1501136556.534481,272,1.0964044332504272
1501136556.730688,273,1.0963666439056396
1501136556.927666,274,1.0963295698165894
1501136557.131301,275,1.0962949991226196
1501136557.334726,276,1.0962626934051514
1501136557.540629,277,1.096225619316101
1501136557.735781,278,1.096191644668579
1501136557.932437,279,1.0961519479751587
1501136558.148609,280,1.0961164236068726
1501136558.348278,281,1.0960731506347656
1501136558.55569,282,1.096034049987793
1501136558.751473,283,1.0959864854812622
1501136558.948799,284,1.0959476232528687
1501136559.156567,285,1.0959025621414185
1501136559.362522,286,1.095860481262207
1501136559.573431,287,1.0958136320114136
1501136559.767598,288,1.0957648754119873
1501136559.965297,289,1.0957167148590088
1501136560.166986,290,1.0956670045852661
1501136560.365001,291,1.095619797706604
1501136560.567202,292,1.0955696105957031
1501136560.764348,293,1.0955188274383545
1501136560.962725,294,1.095462679862976
1501136561.166936,295,1.0954077243804932
1501136561.367598,296,1.0953549146652222
1501136561.571362,297,1.0952974557876587
1501136561.766702,298,1.0952359437942505
1501136561.965512,299,1.0951693058013916
1501136562.167977,300,1.095118761062622
1501136562.372575,301,1.095054268836975
1501136562.578524,302,1.094984769821167
1501136562.781161,303,1.0949145555496216
1501136562.976862,304,1.0948505401611328
1501136563.181115,305,1.0947836637496948
1501136563.385548,306,1.0947118997573853
1501136563.589439,307,1.0946333408355713
1501136563.786164,308,1.0945640802383423
1501136563.98395,309,1.0944825410842896
1501136564.188215,310,1.0944037437438965
1501136564.390033,311,1.094321370124817
1501136564.590247,312,1.0942317247390747
1501136564.783598,313,1.0941495895385742
1501136564.989116,314,1.0940728187561035
1501136565.192053,315,1.093964695930481
1501136565.392634,316,1.0938730239868164
1501136565.597648,317,1.0937775373458862
1501136565.789425,318,1.093686819076538
1501136565.998759,319,1.0935763120651245
1501136566.203718,320,1.0934690237045288
1501136566.401416,321,1.0933600664138794
1501136566.609874,322,1.0932502746582031
1501136566.803275,323,1.0931390523910522
1501136567.010477,324,1.0930126905441284
1501136567.214858,325,1.0928908586502075
1501136567.410025,326,1.0927600860595703
1501136567.608719,327,1.092637538909912
1501136567.805171,328,1.0924941301345825
1501136568.007364,329,1.092367172241211
1501136568.214023,330,1.0922200679779053
1501136568.412318,331,1.0920697450637817
1501136568.618011,332,1.0919125080108643
1501136568.811746,333,1.091765284538269
1501136569.017232,334,1.0915966033935547
1501136569.224245,335,1.0914329290390015
1501136569.421579,336,1.09124755859375
1501136569.62195,337,1.0910683870315552
1501136569.816234,338,1.0908806324005127
1501136570.022041,339,1.0906966924667358
