Wall time,Step,Value
1501136499.002839,0,0.33266666531562805
1501136499.259185,1,0.33266666531562805
1501136499.508914,2,0.3303333520889282
1501136499.762822,3,0.33133333921432495
1501136500.019824,4,0.33000001311302185
1501136500.269802,5,0.33666667342185974
1501136500.474923,6,0.3346666693687439
1501136500.670692,7,0.3336666524410248
1501136500.870363,8,0.3320000171661377
1501136501.080894,9,0.3330000042915344
1501136501.299596,10,0.3310000002384186
1501136501.540003,11,0.33266666531562805
1501136501.738269,12,0.33766666054725647
1501136501.939423,13,0.33500000834465027
1501136502.134076,14,0.32866665720939636
1501136502.364256,15,0.3256666660308838
1501136502.599711,16,0.31966668367385864
1501136502.797202,17,0.320333331823349
1501136503.005669,18,0.3163333535194397
1501136503.216593,19,0.30933332443237305
1501136503.426848,20,0.31033334136009216
1501136503.663576,21,0.3073333203792572
1501136503.935826,22,0.30000001192092896
1501136504.177161,23,0.29466667771339417
1501136504.42305,24,0.2919999957084656
1501136504.660771,25,0.29499998688697815
1501136504.912807,26,0.2906666696071625
1501136505.115763,27,0.29499998688697815
1501136505.322726,28,0.2926666736602783
1501136505.531158,29,0.2903333306312561
1501136505.728146,30,0.2863333225250244
1501136505.941862,31,0.289000004529953
1501136506.142015,32,0.2906666696071625
1501136506.353862,33,0.2876666784286499
1501136506.556451,34,0.28966665267944336
1501136506.787155,35,0.29133331775665283
1501136506.987695,36,0.2919999957084656
1501136507.193822,37,0.30033332109451294
1501136507.399686,38,0.29133331775665283
1501136507.598237,39,0.2933333218097687
1501136507.803539,40,0.3033333420753479
1501136508.012722,41,0.296999990940094
1501136508.227889,42,0.2996666729450226
1501136508.442696,43,0.29633334279060364
1501136508.664527,44,0.3086666762828827
1501136508.901542,45,0.30399999022483826
1501136509.144586,46,0.3023333251476288
1501136509.376608,47,0.3113333284854889
1501136509.760769,48,0.3083333373069763
1501136510.210333,49,0.30933332443237305
1501136510.539757,50,0.3086666762828827
1501136510.863879,51,0.31033334136009216
1501136511.174675,52,0.3096666634082794
1501136511.490031,53,0.31833332777023315
1501136511.714513,54,0.31933334469795227
1501136511.932829,55,0.31299999356269836
1501136512.13491,56,0.31066668033599854
1501136512.352112,57,0.31833332777023315
1501136512.556972,58,0.328000009059906
1501136512.755876,59,0.3303333520889282
1501136512.963279,60,0.320333331823349
1501136513.26412,61,0.3186666667461395
1501136513.548893,62,0.3216666579246521
1501136513.759856,63,0.3333333432674408
1501136514.031208,64,0.320333331823349
1501136514.249312,65,0.3333333432674408
1501136514.461733,66,0.33366668224334717
1501136514.659146,67,0.3330000042915344
1501136514.951098,68,0.33033332228660583
1501136515.240377,69,0.3336666524410248
1501136515.457179,70,0.3306666612625122
1501136515.682659,71,0.3306666612625122
1501136515.890267,72,0.3346666693687439
1501136516.091428,73,0.33500000834465027
1501136516.297088,74,0.3330000042915344
1501136516.511118,75,0.3356666564941406
1501136516.714447,76,0.3356666564941406
1501136516.926908,77,0.3386666774749756
1501136517.13313,78,0.33266666531562805
1501136517.336738,79,0.3383333384990692
1501136517.534017,80,0.33533334732055664
1501136517.730236,81,0.3373333215713501
1501136517.935876,82,0.33766666054725647
1501136518.131459,83,0.33933332562446594
1501136518.332415,84,0.3396666646003723
1501136518.549816,85,0.3400000035762787
1501136518.747403,86,0.34433335065841675
1501136518.964321,87,0.3400000035762787
1501136519.171304,88,0.3423333466053009
1501136519.412781,89,0.3409999907016754
1501136519.622056,90,0.3413333296775818
1501136519.854834,91,0.34566667675971985
1501136520.06923,92,0.34299999475479126
1501136520.272917,93,0.3413333296775818
1501136520.478069,94,0.3440000116825104
1501136520.674852,95,0.343666672706604
1501136520.886888,96,0.3440000116825104
1501136521.099458,97,0.33766666054725647
1501136521.304074,98,0.34466665983200073
1501136521.513005,99,0.34466665983200073
1501136521.736072,100,0.343666672706604
1501136521.936186,101,0.34433332085609436
1501136522.134017,102,0.34333333373069763
1501136522.340715,103,0.3490000069141388
1501136522.545454,104,0.34700000286102295
1501136522.742129,105,0.34566667675971985
1501136522.945282,106,0.3440000116825104
1501136523.146277,107,0.34566667675971985
1501136523.346879,108,0.3499999940395355
1501136523.550678,109,0.34566667675971985
1501136523.741861,110,0.3479999899864197
1501136523.944859,111,0.3463333249092102
1501136524.146811,112,0.3476666808128357
1501136524.355949,113,0.3440000116825104
1501136524.556281,114,0.34966665506362915
1501136524.752271,115,0.3466666638851166
1501136524.956194,116,0.3513333201408386
1501136525.153697,117,0.34933334589004517
1501136525.355777,118,0.3490000069141388
1501136525.563221,119,0.34833332896232605
1501136525.779743,120,0.3466666638851166
1501136525.985347,121,0.35100001096725464
1501136526.186178,122,0.34933334589004517
1501136526.400803,123,0.34933334589004517
1501136526.599688,124,0.3513333201408386
1501136526.795922,125,0.34966668486595154
1501136527.002996,126,0.34833332896232605
1501136527.209518,127,0.35100001096725464
1501136527.406897,128,0.3486666679382324
